Section,Item,Details,Variable,Count,Mean,Median,Mode,Std,Min,Q1,Q3,Max,Range,IQR,Skew,Kurt,Category,Percent,Avg_cnt,Comparison,Group,N,Value,Dimension,Total_Records,Outliers_Count,Outliers_%,Lower_Bound,Upper_Bound,Min_cnt,Max_cnt
DISTRIBUTION,,,,727.0,359.01,385.0,,235.19,,,,,,,,,8.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,727.0,219.31,216.0,,93.7,,,,,,,,,9.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,727.0,173.67,147.0,,102.21,,,,,,,,,10.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,727.0,208.14,180.0,,127.5,,,,,,,,,11.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,728.0,253.32,229.0,,145.08,,,,,,,,,12.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,729.0,253.66,224.0,,148.11,,,,,,,,,13.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,729.0,240.95,212.0,,147.27,,,,,,,,,14.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,729.0,251.23,227.0,,144.63,,,,,,,,,15.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,730.0,311.98,304.5,,148.68,,,,,,,,,16.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,730.0,461.45,475.0,,232.66,,,,,,,,,17.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,728.0,425.51,418.5,,224.64,,,,,,,,,18.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,728.0,311.52,309.5,,161.05,,,,,,,,,19.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,728.0,226.03,223.5,,119.67,,,,,,,,,20.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,728.0,172.31,173.5,,89.79,,,,,,,,,21.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,728.0,131.34,129.0,,69.94,,,,,,,,,22.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,728.0,87.83,80.0,,50.85,,,,,,,,,23.0,,,,,,,hr,,,,,,,
DISTRIBUTION,,,,2502.0,177.47,116.0,,168.17,,,,,,,,,0.0,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2479.0,183.74,139.0,,179.51,,,,,,,,,1.0,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2453.0,191.24,147.0,,187.82,,,,,,,,,2.0,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2475.0,191.13,143.0,,190.89,,,,,,,,,3.0,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2471.0,196.44,154.0,,188.01,,,,,,,,,4.0,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2487.0,196.14,165.0,,174.08,,,,,,,,,5.0,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2512.0,190.21,129.0,,179.82,,,,,,,,,6.0,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,1429.0,94.42,66.0,,99.91,,,,,,,,,1.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1341.0,112.87,82.0,,112.49,,,,,,,,,2.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1473.0,155.41,104.0,,163.54,,,,,,,,,3.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1437.0,187.26,136.0,,181.14,,,,,,,,,4.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1488.0,222.91,188.5,,187.72,,,,,,,,,5.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1440.0,240.52,203.0,,196.04,,,,,,,,,6.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1488.0,231.82,202.0,,187.48,,,,,,,,,7.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1475.0,238.1,204.0,,200.44,,,,,,,,,8.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1437.0,240.77,190.0,,214.61,,,,,,,,,9.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1451.0,222.16,174.0,,203.48,,,,,,,,,10.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1437.0,177.34,145.0,,158.97,,,,,,,,,11.0,,,,,,,mnth,,,,,,,
DISTRIBUTION,,,,1483.0,142.3,106.0,,141.08,,,,,,,,,12.0,,,,,,,mnth,,,,,,,
OUTLIERS,,,,,,,,,,,,,,,,,,,,,,,,,17379.0,505.0,2.91,-321.5,642.5,1.0,977.0
